,Years,Timesteps,Region,Carrier,Value
0,Y0,1,reg1,Final_electricity,0.0
1,Y0,2,reg1,Final_electricity,0.0
2,Y0,3,reg1,Final_electricity,0.0
3,Y0,4,reg1,Final_electricity,0.0
4,Y0,5,reg1,Final_electricity,0.0
5,Y0,6,reg1,Final_electricity,0.0
6,Y0,7,reg1,Final_electricity,0.0
7,Y0,8,reg1,Final_electricity,0.0
8,Y0,9,reg1,Final_electricity,0.0
9,Y0,10,reg1,Final_electricity,0.0
10,Y0,11,reg1,Final_electricity,0.0
11,Y0,12,reg1,Final_electricity,0.0
12,Y0,13,reg1,Final_electricity,0.0
13,Y0,14,reg1,Final_electricity,0.0
14,Y0,15,reg1,Final_electricity,0.0
15,Y0,16,reg1,Final_electricity,0.0
16,Y0,17,reg1,Final_electricity,0.0
17,Y0,18,reg1,Final_electricity,0.0
18,Y0,19,reg1,Final_electricity,0.0
19,Y0,20,reg1,Final_electricity,0.0
20,Y0,21,reg1,Final_electricity,0.0
21,Y0,22,reg1,Final_electricity,0.0
22,Y0,23,reg1,Final_electricity,0.0
23,Y0,24,reg1,Final_electricity,0.0
24,Y1,1,reg1,Final_electricity,0.0
25,Y1,2,reg1,Final_electricity,0.0
26,Y1,3,reg1,Final_electricity,0.0
27,Y1,4,reg1,Final_electricity,0.0
28,Y1,5,reg1,Final_electricity,0.0
29,Y1,6,reg1,Final_electricity,0.0
30,Y1,7,reg1,Final_electricity,0.0
31,Y1,8,reg1,Final_electricity,0.0
32,Y1,9,reg1,Final_electricity,0.0
33,Y1,10,reg1,Final_electricity,0.0
34,Y1,11,reg1,Final_electricity,0.0
35,Y1,12,reg1,Final_electricity,0.0
36,Y1,13,reg1,Final_electricity,0.0
37,Y1,14,reg1,Final_electricity,0.0
38,Y1,15,reg1,Final_electricity,0.0
39,Y1,16,reg1,Final_electricity,0.0
40,Y1,17,reg1,Final_electricity,0.0
41,Y1,18,reg1,Final_electricity,0.0
42,Y1,19,reg1,Final_electricity,0.0
43,Y1,20,reg1,Final_electricity,0.0
44,Y1,21,reg1,Final_electricity,0.0
45,Y1,22,reg1,Final_electricity,0.0
46,Y1,23,reg1,Final_electricity,0.0
47,Y1,24,reg1,Final_electricity,0.0
48,Y2,1,reg1,Final_electricity,0.0
49,Y2,2,reg1,Final_electricity,0.0
50,Y2,3,reg1,Final_electricity,0.0
51,Y2,4,reg1,Final_electricity,0.0
52,Y2,5,reg1,Final_electricity,0.0
53,Y2,6,reg1,Final_electricity,0.0
54,Y2,7,reg1,Final_electricity,0.0
55,Y2,8,reg1,Final_electricity,0.0
56,Y2,9,reg1,Final_electricity,0.0
57,Y2,10,reg1,Final_electricity,0.0
58,Y2,11,reg1,Final_electricity,0.0
59,Y2,12,reg1,Final_electricity,0.0
60,Y2,13,reg1,Final_electricity,0.0
61,Y2,14,reg1,Final_electricity,0.0
62,Y2,15,reg1,Final_electricity,0.0
63,Y2,16,reg1,Final_electricity,0.0
64,Y2,17,reg1,Final_electricity,0.0
65,Y2,18,reg1,Final_electricity,0.0
66,Y2,19,reg1,Final_electricity,0.0
67,Y2,20,reg1,Final_electricity,0.0
68,Y2,21,reg1,Final_electricity,0.0
69,Y2,22,reg1,Final_electricity,0.0
70,Y2,23,reg1,Final_electricity,0.0
71,Y2,24,reg1,Final_electricity,0.0
72,Y3,1,reg1,Final_electricity,0.0
73,Y3,2,reg1,Final_electricity,0.0
74,Y3,3,reg1,Final_electricity,0.0
75,Y3,4,reg1,Final_electricity,0.0
76,Y3,5,reg1,Final_electricity,0.0
77,Y3,6,reg1,Final_electricity,0.0
78,Y3,7,reg1,Final_electricity,0.0
79,Y3,8,reg1,Final_electricity,0.0
80,Y3,9,reg1,Final_electricity,0.0
81,Y3,10,reg1,Final_electricity,0.0
82,Y3,11,reg1,Final_electricity,0.0
83,Y3,12,reg1,Final_electricity,0.0
84,Y3,13,reg1,Final_electricity,0.0
85,Y3,14,reg1,Final_electricity,0.0
86,Y3,15,reg1,Final_electricity,0.0
87,Y3,16,reg1,Final_electricity,0.0
88,Y3,17,reg1,Final_electricity,0.0
89,Y3,18,reg1,Final_electricity,0.0
90,Y3,19,reg1,Final_electricity,0.0
91,Y3,20,reg1,Final_electricity,10005.595230122952
92,Y3,21,reg1,Final_electricity,0.0
93,Y3,22,reg1,Final_electricity,0.0
94,Y3,23,reg1,Final_electricity,0.0
95,Y3,24,reg1,Final_electricity,0.0
96,Y4,1,reg1,Final_electricity,0.0
97,Y4,2,reg1,Final_electricity,0.0
98,Y4,3,reg1,Final_electricity,0.0
99,Y4,4,reg1,Final_electricity,0.0
100,Y4,5,reg1,Final_electricity,0.0
101,Y4,6,reg1,Final_electricity,0.0
102,Y4,7,reg1,Final_electricity,0.0
103,Y4,8,reg1,Final_electricity,0.0
104,Y4,9,reg1,Final_electricity,0.0
105,Y4,10,reg1,Final_electricity,0.0
106,Y4,11,reg1,Final_electricity,0.0
107,Y4,12,reg1,Final_electricity,0.0
108,Y4,13,reg1,Final_electricity,0.0
109,Y4,14,reg1,Final_electricity,0.0
110,Y4,15,reg1,Final_electricity,0.0
111,Y4,16,reg1,Final_electricity,0.0
112,Y4,17,reg1,Final_electricity,0.0
113,Y4,18,reg1,Final_electricity,0.0
114,Y4,19,reg1,Final_electricity,0.0
115,Y4,20,reg1,Final_electricity,0.0
116,Y4,21,reg1,Final_electricity,0.0
117,Y4,22,reg1,Final_electricity,0.0
118,Y4,23,reg1,Final_electricity,0.0
119,Y4,24,reg1,Final_electricity,0.0
120,Y5,1,reg1,Final_electricity,0.0
121,Y5,2,reg1,Final_electricity,0.0
122,Y5,3,reg1,Final_electricity,0.0
123,Y5,4,reg1,Final_electricity,0.0
124,Y5,5,reg1,Final_electricity,0.0
125,Y5,6,reg1,Final_electricity,0.0
126,Y5,7,reg1,Final_electricity,0.0
127,Y5,8,reg1,Final_electricity,0.0
128,Y5,9,reg1,Final_electricity,0.0
129,Y5,10,reg1,Final_electricity,0.0
130,Y5,11,reg1,Final_electricity,0.0
131,Y5,12,reg1,Final_electricity,0.0
132,Y5,13,reg1,Final_electricity,0.0
133,Y5,14,reg1,Final_electricity,0.0
134,Y5,15,reg1,Final_electricity,0.0
135,Y5,16,reg1,Final_electricity,0.0
136,Y5,17,reg1,Final_electricity,0.0
137,Y5,18,reg1,Final_electricity,0.0
138,Y5,19,reg1,Final_electricity,0.0
139,Y5,20,reg1,Final_electricity,0.0
140,Y5,21,reg1,Final_electricity,0.0
141,Y5,22,reg1,Final_electricity,0.0
142,Y5,23,reg1,Final_electricity,0.0
143,Y5,24,reg1,Final_electricity,0.0
144,Y6,1,reg1,Final_electricity,0.0
145,Y6,2,reg1,Final_electricity,0.0
146,Y6,3,reg1,Final_electricity,0.0
147,Y6,4,reg1,Final_electricity,0.0
148,Y6,5,reg1,Final_electricity,0.0
149,Y6,6,reg1,Final_electricity,0.0
150,Y6,7,reg1,Final_electricity,0.0
151,Y6,8,reg1,Final_electricity,0.0
152,Y6,9,reg1,Final_electricity,0.0
153,Y6,10,reg1,Final_electricity,0.0
154,Y6,11,reg1,Final_electricity,0.0
155,Y6,12,reg1,Final_electricity,0.0
156,Y6,13,reg1,Final_electricity,0.0
157,Y6,14,reg1,Final_electricity,0.0
158,Y6,15,reg1,Final_electricity,0.0
159,Y6,16,reg1,Final_electricity,0.0
160,Y6,17,reg1,Final_electricity,0.0
161,Y6,18,reg1,Final_electricity,0.0
162,Y6,19,reg1,Final_electricity,0.0
163,Y6,20,reg1,Final_electricity,0.0
164,Y6,21,reg1,Final_electricity,0.0
165,Y6,22,reg1,Final_electricity,0.0
166,Y6,23,reg1,Final_electricity,0.0
167,Y6,24,reg1,Final_electricity,0.0
168,Y7,1,reg1,Final_electricity,0.0
169,Y7,2,reg1,Final_electricity,0.0
170,Y7,3,reg1,Final_electricity,0.0
171,Y7,4,reg1,Final_electricity,0.0
172,Y7,5,reg1,Final_electricity,0.0
173,Y7,6,reg1,Final_electricity,0.0
174,Y7,7,reg1,Final_electricity,0.0
175,Y7,8,reg1,Final_electricity,0.0
176,Y7,9,reg1,Final_electricity,0.0
177,Y7,10,reg1,Final_electricity,0.0
178,Y7,11,reg1,Final_electricity,0.0
179,Y7,12,reg1,Final_electricity,0.0
180,Y7,13,reg1,Final_electricity,0.0
181,Y7,14,reg1,Final_electricity,0.0
182,Y7,15,reg1,Final_electricity,0.0
183,Y7,16,reg1,Final_electricity,0.0
184,Y7,17,reg1,Final_electricity,0.0
185,Y7,18,reg1,Final_electricity,0.0
186,Y7,19,reg1,Final_electricity,0.0
187,Y7,20,reg1,Final_electricity,0.0
188,Y7,21,reg1,Final_electricity,0.0
189,Y7,22,reg1,Final_electricity,0.0
190,Y7,23,reg1,Final_electricity,0.0
191,Y7,24,reg1,Final_electricity,0.0
192,Y8,1,reg1,Final_electricity,0.0
193,Y8,2,reg1,Final_electricity,0.0
194,Y8,3,reg1,Final_electricity,0.0
195,Y8,4,reg1,Final_electricity,0.0
196,Y8,5,reg1,Final_electricity,0.0
197,Y8,6,reg1,Final_electricity,0.0
198,Y8,7,reg1,Final_electricity,0.0
199,Y8,8,reg1,Final_electricity,0.0
200,Y8,9,reg1,Final_electricity,0.0
201,Y8,10,reg1,Final_electricity,0.0
202,Y8,11,reg1,Final_electricity,0.0
203,Y8,12,reg1,Final_electricity,0.0
204,Y8,13,reg1,Final_electricity,0.0
205,Y8,14,reg1,Final_electricity,0.0
206,Y8,15,reg1,Final_electricity,0.0
207,Y8,16,reg1,Final_electricity,0.0
208,Y8,17,reg1,Final_electricity,0.0
209,Y8,18,reg1,Final_electricity,0.0
210,Y8,19,reg1,Final_electricity,0.0
211,Y8,20,reg1,Final_electricity,0.0
212,Y8,21,reg1,Final_electricity,0.0
213,Y8,22,reg1,Final_electricity,0.0
214,Y8,23,reg1,Final_electricity,0.0
215,Y8,24,reg1,Final_electricity,0.0
216,Y9,1,reg1,Final_electricity,0.0
217,Y9,2,reg1,Final_electricity,0.0
218,Y9,3,reg1,Final_electricity,0.0
219,Y9,4,reg1,Final_electricity,0.0
220,Y9,5,reg1,Final_electricity,0.0
221,Y9,6,reg1,Final_electricity,0.0
222,Y9,7,reg1,Final_electricity,0.0
223,Y9,8,reg1,Final_electricity,0.0
224,Y9,9,reg1,Final_electricity,0.0
225,Y9,10,reg1,Final_electricity,0.0
226,Y9,11,reg1,Final_electricity,0.0
227,Y9,12,reg1,Final_electricity,0.0
228,Y9,13,reg1,Final_electricity,0.0
229,Y9,14,reg1,Final_electricity,0.0
230,Y9,15,reg1,Final_electricity,0.0
231,Y9,16,reg1,Final_electricity,0.0
232,Y9,17,reg1,Final_electricity,0.0
233,Y9,18,reg1,Final_electricity,0.0
234,Y9,19,reg1,Final_electricity,0.0
235,Y9,20,reg1,Final_electricity,0.0
236,Y9,21,reg1,Final_electricity,0.0
237,Y9,22,reg1,Final_electricity,0.0
238,Y9,23,reg1,Final_electricity,0.0
239,Y9,24,reg1,Final_electricity,0.0
240,Y10,1,reg1,Final_electricity,0.0
241,Y10,2,reg1,Final_electricity,0.0
242,Y10,3,reg1,Final_electricity,0.0
243,Y10,4,reg1,Final_electricity,0.0
244,Y10,5,reg1,Final_electricity,0.0
245,Y10,6,reg1,Final_electricity,0.0
246,Y10,7,reg1,Final_electricity,0.0
247,Y10,8,reg1,Final_electricity,0.0
248,Y10,9,reg1,Final_electricity,0.0
249,Y10,10,reg1,Final_electricity,0.0
250,Y10,11,reg1,Final_electricity,0.0
251,Y10,12,reg1,Final_electricity,0.0
252,Y10,13,reg1,Final_electricity,0.0
253,Y10,14,reg1,Final_electricity,0.0
254,Y10,15,reg1,Final_electricity,0.0
255,Y10,16,reg1,Final_electricity,0.0
256,Y10,17,reg1,Final_electricity,0.0
257,Y10,18,reg1,Final_electricity,0.0
258,Y10,19,reg1,Final_electricity,55658.608176344715
259,Y10,20,reg1,Final_electricity,117887.302946917
260,Y10,21,reg1,Final_electricity,332938.7419619903
261,Y10,22,reg1,Final_electricity,65180.5894739605
262,Y10,23,reg1,Final_electricity,0.0
263,Y10,24,reg1,Final_electricity,0.0
264,Y11,1,reg1,Final_electricity,191453.92373814288
265,Y11,2,reg1,Final_electricity,154568.37803400183
266,Y11,3,reg1,Final_electricity,184150.85956871003
267,Y11,4,reg1,Final_electricity,131164.15107941628
268,Y11,5,reg1,Final_electricity,148863.66577638077
269,Y11,6,reg1,Final_electricity,195624.98583706797
270,Y11,7,reg1,Final_electricity,339516.94033678004
271,Y11,8,reg1,Final_electricity,501531.9880705683
272,Y11,9,reg1,Final_electricity,373010.03565876646
273,Y11,10,reg1,Final_electricity,303404.90259557846
274,Y11,11,reg1,Final_electricity,279047.95815353456
275,Y11,12,reg1,Final_electricity,303059.7040375507
276,Y11,13,reg1,Final_electricity,325463.101284015
277,Y11,14,reg1,Final_electricity,198844.10754711562
278,Y11,15,reg1,Final_electricity,163336.97125313347
279,Y11,16,reg1,Final_electricity,162405.09269777258
280,Y11,17,reg1,Final_electricity,279264.00620361126
281,Y11,18,reg1,Final_electricity,383681.74414810515
282,Y11,19,reg1,Final_electricity,545516.6506935812
283,Y11,20,reg1,Final_electricity,676819.4755541406
284,Y11,21,reg1,Final_electricity,585661.4637199803
285,Y11,22,reg1,Final_electricity,297945.92660009145
286,Y11,23,reg1,Final_electricity,217135.21482165743
287,Y11,24,reg1,Final_electricity,222897.14369124486
288,Y0,1,reg2,Final_electricity,146630.92189713358
289,Y0,2,reg2,Final_electricity,158010.09926985312
290,Y0,3,reg2,Final_electricity,143541.57313476896
291,Y0,4,reg2,Final_electricity,154179.29732833253
292,Y0,5,reg2,Final_electricity,160031.9309512752
293,Y0,6,reg2,Final_electricity,175225.0185061378
294,Y0,7,reg2,Final_electricity,194617.82621492053
295,Y0,8,reg2,Final_electricity,220372.7440231397
296,Y0,9,reg2,Final_electricity,215174.17416012601
297,Y0,10,reg2,Final_electricity,203586.2618313589
298,Y0,11,reg2,Final_electricity,203959.9933382082
299,Y0,12,reg2,Final_electricity,207688.3221053315
300,Y0,13,reg2,Final_electricity,209708.4919683452
301,Y0,14,reg2,Final_electricity,193763.7412834137
302,Y0,15,reg2,Final_electricity,185072.28014119872
303,Y0,16,reg2,Final_electricity,171680.51465805166
304,Y0,17,reg2,Final_electricity,186351.96868067395
305,Y0,18,reg2,Final_electricity,200239.50840670135
306,Y0,19,reg2,Final_electricity,216615.2234751945
307,Y0,20,reg2,Final_electricity,231545.3823793041
308,Y0,21,reg2,Final_electricity,221739.71114642738
309,Y0,22,reg2,Final_electricity,190223.95498204383
310,Y0,23,reg2,Final_electricity,156413.8939617839
311,Y0,24,reg2,Final_electricity,157821.2918233328
312,Y1,1,reg2,Final_electricity,181674.4015573863
313,Y1,2,reg2,Final_electricity,185662.73032450958
314,Y1,3,reg2,Final_electricity,180591.60703683837
315,Y1,4,reg2,Final_electricity,184320.05909163287
316,Y1,5,reg2,Final_electricity,186371.36868067397
317,Y1,6,reg2,Final_electricity,191697.54128341368
318,Y1,7,reg2,Final_electricity,209459.09470807124
319,Y1,8,reg2,Final_electricity,237068.13032450958
320,Y1,9,reg2,Final_electricity,231495.31114642738
321,Y1,10,reg2,Final_electricity,219073.17416012601
322,Y1,11,reg2,Final_electricity,219473.8125162904
323,Y1,12,reg2,Final_electricity,223470.54676286574
324,Y1,13,reg2,Final_electricity,225636.14950259178
325,Y1,14,reg2,Final_electricity,208543.5221053315
326,Y1,15,reg2,Final_electricity,200237.23991355067
327,Y1,16,reg2,Final_electricity,194290.24813272877
328,Y1,17,reg2,Final_electricity,200598.1714204
329,Y1,18,reg2,Final_electricity,215485.48648889313
330,Y1,19,reg2,Final_electricity,233040.1029272493
331,Y1,20,reg2,Final_electricity,249045.09744779725
332,Y1,21,reg2,Final_electricity,238533.50840670135
333,Y1,22,reg2,Final_electricity,204748.9029272493
334,Y1,23,reg2,Final_electricity,185103.270050537
335,Y1,24,reg2,Final_electricity,185596.55498204383
336,Y2,1,reg2,Final_electricity,191713.62895464656
337,Y2,2,reg2,Final_electricity,195909.18785875617
338,Y2,3,reg2,Final_electricity,190574.56868067395
339,Y2,4,reg2,Final_electricity,194496.7522423178
340,Y2,5,reg2,Final_electricity,196654.64813272876
341,Y2,6,reg2,Final_electricity,202257.56868067395
342,Y2,7,reg2,Final_electricity,220942.00703683833
343,Y2,8,reg2,Final_electricity,249985.60155738628
344,Y2,9,reg2,Final_electricity,244123.2207354685
345,Y2,10,reg2,Final_electricity,231055.6316943726
346,Y2,11,reg2,Final_electricity,231477.08648889314
347,Y2,12,reg2,Final_electricity,235681.48922861918
348,Y2,13,reg2,Final_electricity,237959.61799574245
349,Y2,14,reg2,Final_electricity,219978.85909163285
350,Y2,15,reg2,Final_electricity,211240.9851190301
351,Y2,16,reg2,Final_electricity,204984.99059848217
352,Y2,17,reg2,Final_electricity,211620.67005053698
353,Y2,18,reg2,Final_electricity,227281.52758478356
354,Y2,19,reg2,Final_electricity,245748.27826971505
355,Y2,20,reg2,Final_electricity,262435.57416012604
356,Y2,21,reg2,Final_electricity,251527.11936560547
357,Y2,22,reg2,Final_electricity,215987.07279026302
358,Y2,23,reg2,Final_electricity,195320.65909163287
359,Y2,24,reg2,Final_electricity,195839.574160126
360,Y3,1,reg2,Final_electricity,173249.3957674959
361,Y3,2,reg2,Final_electricity,177706.44234283836
362,Y3,3,reg2,Final_electricity,172039.3464524274
363,Y3,4,reg2,Final_electricity,176205.9765894137
364,Y3,5,reg2,Final_electricity,178498.36015105754
365,Y3,6,reg2,Final_electricity,184450.48343872878
366,Y3,7,reg2,Final_electricity,204299.42042503014
367,Y3,8,reg2,Final_electricity,234043.5354935233
368,Y3,9,reg2,Final_electricity,228925.39850722192
369,Y3,10,reg2,Final_electricity,215043.3765894137
370,Y3,11,reg2,Final_electricity,215491.09987708493
371,Y3,12,reg2,Final_electricity,219957.54097297534
372,Y3,13,reg2,Final_electricity,222377.65056201644
373,Y3,14,reg2,Final_electricity,203276.2478222904
374,Y3,15,reg2,Final_electricity,193993.7875483178
375,Y3,16,reg2,Final_electricity,187347.89165790685
376,Y3,17,reg2,Final_electricity,194397.1382332493
377,Y3,18,reg2,Final_electricity,211034.05330174248
378,Y3,19,reg2,Final_electricity,230651.7382332493
379,Y3,20,reg2,Final_electricity,247742.16563050958
380,Y3,21,reg2,Final_electricity,236783.26152092055
381,Y3,22,reg2,Final_electricity,199035.6752195507
382,Y3,23,reg2,Final_electricity,177081.23138393424
383,Y3,24,reg2,Final_electricity,177632.48891818084
384,Y4,1,reg2,Final_electricity,60970.51018555144
385,Y4,2,reg2,Final_electricity,77676.11916922334
386,Y4,3,reg2,Final_electricity,60594.5572838351
387,Y4,4,reg2,Final_electricity,75034.77063928916
388,Y4,5,reg2,Final_electricity,82915.4308296243
389,Y4,6,reg2,Final_electricity,104888.1182729361
390,Y4,7,reg2,Final_electricity,162222.79831270137
391,Y4,8,reg2,Final_electricity,194422.77848530412
392,Y4,9,reg2,Final_electricity,176046.61120311235
393,Y4,10,reg2,Final_electricity,170668.2392650655
394,Y4,11,reg2,Final_electricity,179403.48310882068
395,Y4,12,reg2,Final_electricity,197776.07192092057
396,Y4,13,reg2,Final_electricity,205370.0713483178
397,Y4,14,reg2,Final_electricity,158447.95394804058
398,Y4,15,reg2,Final_electricity,133905.74524533338
399,Y4,16,reg2,Final_electricity,118319.62129667816
400,Y4,17,reg2,Final_electricity,147875.13787554906
401,Y4,18,reg2,Final_electricity,175427.89549626302
402,Y4,19,reg2,Final_electricity,180434.6730305096
403,Y4,20,reg2,Final_electricity,191597.75122229042
404,Y4,21,reg2,Final_electricity,175374.5630853041
405,Y4,22,reg2,Final_electricity,135919.51232393438
406,Y4,23,reg2,Final_electricity,66900.51583130591
407,Y4,24,reg2,Final_electricity,71588.77668347467
408,Y5,1,reg2,Final_electricity,105637.45136325204
409,Y5,2,reg2,Final_electricity,123265.08644627882
410,Y5,3,reg2,Final_electricity,105011.17357516111
411,Y5,4,reg2,Final_electricity,120313.33934959788
412,Y5,5,reg2,Final_electricity,128668.22348499429
413,Y5,6,reg2,Final_electricity,149862.12149900277
414,Y5,7,reg2,Final_electricity,179145.71612092055
415,Y5,8,reg2,Final_electricity,213600.86067708494
416,Y5,9,reg2,Final_electricity,195224.69339489317
417,Y5,10,reg2,Final_electricity,140041.93791923285
418,Y5,11,reg2,Final_electricity,137694.06486326866
419,Y5,12,reg2,Final_electricity,151830.15909291295
420,Y5,13,reg2,Final_electricity,166513.16630272576
421,Y5,14,reg2,Final_electricity,112344.28273874745
422,Y5,15,reg2,Final_electricity,101074.03704296832
423,Y5,16,reg2,Final_electricity,104192.64561493532
424,Y5,17,reg2,Final_electricity,160903.73403594384
425,Y5,18,reg2,Final_electricity,193411.0270031123
426,Y5,19,reg2,Final_electricity,199612.75522229043
427,Y5,20,reg2,Final_electricity,210775.83341407124
428,Y5,21,reg2,Final_electricity,194552.64527708493
429,Y5,22,reg2,Final_electricity,152758.84201133152
430,Y5,23,reg2,Final_electricity,112360.14599327063
431,Y5,24,reg2,Final_electricity,117162.44727719377
432,Y6,1,reg2,Final_electricity,63779.64646988748
433,Y6,2,reg2,Final_electricity,82396.70336752746
434,Y6,3,reg2,Final_electricity,62884.748105983934
435,Y6,4,reg2,Final_electricity,79111.86532512866
436,Y6,5,reg2,Final_electricity,87975.64033696902
437,Y6,6,reg2,Final_electricity,112500.30426857778
438,Y6,7,reg2,Final_electricity,185597.8122517738
439,Y6,8,reg2,Final_electricity,232778.94286886576
440,Y6,9,reg2,Final_electricity,178754.40234871462
441,Y6,10,reg2,Final_electricity,107935.05209766125
442,Y6,11,reg2,Final_electricity,102914.34698636708
443,Y6,12,reg2,Final_electricity,120457.49680182083
444,Y6,13,reg2,Final_electricity,135502.0919492211
445,Y6,14,reg2,Final_electricity,78479.2738548983
446,Y6,15,reg2,Final_electricity,63994.198912463326
447,Y6,16,reg2,Final_electricity,65414.81856923973
448,Y6,17,reg2,Final_electricity,123428.11372294724
449,Y6,18,reg2,Final_electricity,209849.38316749586
450,Y6,19,reg2,Final_electricity,218790.83741407125
451,Y6,20,reg2,Final_electricity,232693.64163324932
452,Y6,21,reg2,Final_electricity,216470.453496263
453,Y6,22,reg2,Final_electricity,149373.1891848914
454,Y6,23,reg2,Final_electricity,71352.97529340879
